file,shift,regime,seed,ckpt_hash,n_train,n_steps
synthetic_none_source_s0_44bac7814863.pt,none,source,0,44bac7814863,8000,1920
synthetic_none_matched_null_s0_ed3753fd32c2.pt,none,matched_null,0,ed3753fd32c2,4000,32
synthetic_none_treatment_s0_047a2e5318d3.pt,none,treatment,0,047a2e5318d3,4000,32
synthetic_none_seed_s0_c840ca351a62.pt,none,seed,0,c840ca351a62,8000,1920
synthetic_none_scratch_s0_6fb461d0e671.pt,none,scratch,0,6fb461d0e671,8000,1920
synthetic_covariate_source_s0_44bac7814863.pt,covariate,source,0,44bac7814863,8000,1920
synthetic_covariate_matched_null_s0_ed3753fd32c2.pt,covariate,matched_null,0,ed3753fd32c2,4000,32
synthetic_covariate_treatment_s0_f405db37da9e.pt,covariate,treatment,0,f405db37da9e,4000,32
synthetic_covariate_seed_s0_c840ca351a62.pt,covariate,seed,0,c840ca351a62,8000,1920
synthetic_covariate_scratch_s0_8d49307604b2.pt,covariate,scratch,0,8d49307604b2,8000,1920
synthetic_concept_source_s0_44bac7814863.pt,concept,source,0,44bac7814863,8000,1920
synthetic_concept_matched_null_s0_ed3753fd32c2.pt,concept,matched_null,0,ed3753fd32c2,4000,32
synthetic_concept_treatment_s0_39f3e63ce875.pt,concept,treatment,0,39f3e63ce875,4000,32
synthetic_concept_seed_s0_c840ca351a62.pt,concept,seed,0,c840ca351a62,8000,1920
synthetic_concept_scratch_s0_da74d84064eb.pt,concept,scratch,0,da74d84064eb,8000,1920
synthetic_shortcut_source_s0_79e8f37f4b2e.pt,shortcut,source,0,79e8f37f4b2e,8000,1920
synthetic_shortcut_matched_null_s0_cee44d8ae053.pt,shortcut,matched_null,0,cee44d8ae053,4000,32
synthetic_shortcut_treatment_s0_c784da5bba63.pt,shortcut,treatment,0,c784da5bba63,4000,32
synthetic_shortcut_seed_s0_4c618d91fbf6.pt,shortcut,seed,0,4c618d91fbf6,8000,1920
synthetic_shortcut_scratch_s0_6fb461d0e671.pt,shortcut,scratch,0,6fb461d0e671,8000,1920
synthetic_none_source_s1_6f54fadef1c0.pt,none,source,1,6f54fadef1c0,8000,1920
synthetic_none_matched_null_s1_3f1e6dd1226c.pt,none,matched_null,1,3f1e6dd1226c,4000,32
synthetic_none_treatment_s1_e1bed486703c.pt,none,treatment,1,e1bed486703c,4000,32
synthetic_none_seed_s1_b127b33620c7.pt,none,seed,1,b127b33620c7,8000,1920
synthetic_none_scratch_s1_702dcfc80814.pt,none,scratch,1,702dcfc80814,8000,1920
synthetic_covariate_source_s1_6f54fadef1c0.pt,covariate,source,1,6f54fadef1c0,8000,1920
synthetic_covariate_matched_null_s1_3f1e6dd1226c.pt,covariate,matched_null,1,3f1e6dd1226c,4000,32
synthetic_covariate_treatment_s1_19b6df219a2e.pt,covariate,treatment,1,19b6df219a2e,4000,32
synthetic_covariate_seed_s1_b127b33620c7.pt,covariate,seed,1,b127b33620c7,8000,1920
synthetic_covariate_scratch_s1_a04071ab97d3.pt,covariate,scratch,1,a04071ab97d3,8000,1920
synthetic_concept_source_s1_6f54fadef1c0.pt,concept,source,1,6f54fadef1c0,8000,1920
synthetic_concept_matched_null_s1_3f1e6dd1226c.pt,concept,matched_null,1,3f1e6dd1226c,4000,32
synthetic_concept_treatment_s1_6d0c708809e4.pt,concept,treatment,1,6d0c708809e4,4000,32
synthetic_concept_seed_s1_b127b33620c7.pt,concept,seed,1,b127b33620c7,8000,1920
synthetic_concept_scratch_s1_f9761df25ebe.pt,concept,scratch,1,f9761df25ebe,8000,1920
synthetic_shortcut_source_s1_e0c9fc169963.pt,shortcut,source,1,e0c9fc169963,8000,1920
synthetic_shortcut_matched_null_s1_2e6f97bb2bb7.pt,shortcut,matched_null,1,2e6f97bb2bb7,4000,32
synthetic_shortcut_treatment_s1_f76b25b86e88.pt,shortcut,treatment,1,f76b25b86e88,4000,32
synthetic_shortcut_seed_s1_16b927873bd4.pt,shortcut,seed,1,16b927873bd4,8000,1920
synthetic_shortcut_scratch_s1_702dcfc80814.pt,shortcut,scratch,1,702dcfc80814,8000,1920
synthetic_none_source_s2_cf23a675b294.pt,none,source,2,cf23a675b294,8000,1920
synthetic_none_matched_null_s2_b5e6a5776903.pt,none,matched_null,2,b5e6a5776903,4000,32
synthetic_none_treatment_s2_691ab706cf27.pt,none,treatment,2,691ab706cf27,4000,32
synthetic_none_seed_s2_6ddacbec44e6.pt,none,seed,2,6ddacbec44e6,8000,1920
synthetic_none_scratch_s2_2565f4cb504d.pt,none,scratch,2,2565f4cb504d,8000,1920
synthetic_covariate_source_s2_cf23a675b294.pt,covariate,source,2,cf23a675b294,8000,1920
synthetic_covariate_matched_null_s2_b5e6a5776903.pt,covariate,matched_null,2,b5e6a5776903,4000,32
synthetic_covariate_treatment_s2_9d1f7ce00c03.pt,covariate,treatment,2,9d1f7ce00c03,4000,32
synthetic_covariate_seed_s2_6ddacbec44e6.pt,covariate,seed,2,6ddacbec44e6,8000,1920
synthetic_covariate_scratch_s2_7f6effc12f91.pt,covariate,scratch,2,7f6effc12f91,8000,1920
synthetic_concept_source_s2_cf23a675b294.pt,concept,source,2,cf23a675b294,8000,1920
synthetic_concept_matched_null_s2_b5e6a5776903.pt,concept,matched_null,2,b5e6a5776903,4000,32
synthetic_concept_treatment_s2_9dab5ce38450.pt,concept,treatment,2,9dab5ce38450,4000,32
synthetic_concept_seed_s2_6ddacbec44e6.pt,concept,seed,2,6ddacbec44e6,8000,1920
synthetic_concept_scratch_s2_164ddef3c9ab.pt,concept,scratch,2,164ddef3c9ab,8000,1920
synthetic_shortcut_source_s2_f09a392019f0.pt,shortcut,source,2,f09a392019f0,8000,1920
synthetic_shortcut_matched_null_s2_4ed0d11d1408.pt,shortcut,matched_null,2,4ed0d11d1408,4000,32
synthetic_shortcut_treatment_s2_7e9def235758.pt,shortcut,treatment,2,7e9def235758,4000,32
synthetic_shortcut_seed_s2_8e09f2cf7bb4.pt,shortcut,seed,2,8e09f2cf7bb4,8000,1920
synthetic_shortcut_scratch_s2_2565f4cb504d.pt,shortcut,scratch,2,2565f4cb504d,8000,1920
