model,n_params,explainer,eps,seeds,delta,rho_null,ratio,ratio_lo,ratio_hi,p,cliffs_delta,preserved_frac,agree_treat
mlp32,1696,gradient_x_input,0.05,5,0.03106922804012464,0.019158745289105966,1.621673422308673,1.2566441006668785,2.1596763368776237,0.0625,0.76,,
mlp32,1696,integrated_gradients,0.05,5,0.02935848841358123,0.019808603676791457,1.4821079210130694,1.1401371612676372,2.030280506645642,0.0625,0.76,,
mlp64,5440,gradient_x_input,0.05,5,0.04143334156443754,0.02638271831822071,1.5704728021078256,1.3556493119259085,1.8158003640153453,0.0625,0.9199999999999999,,
mlp64,5440,integrated_gradients,0.05,5,0.03992653418311699,0.02749225275032056,1.4522831048340137,1.210566465231914,1.7618632977024462,0.0625,0.8400000000000001,,
mlp128,19072,gradient_x_input,0.05,5,0.05437908344848058,0.034572797319006844,1.5728864212727436,1.4659687230551253,1.7578821765944685,0.0625,1.0,,
mlp128,19072,integrated_gradients,0.05,5,0.054625864342823835,0.03764567991646179,1.4510526696301456,1.2590859021803669,1.6805964921880918,0.0625,1.0,,
mlp256,70912,gradient_x_input,0.05,5,0.06936824968868124,0.04525782096391565,1.5327350767503585,1.475524487638421,1.6035475079248744,0.0625,1.0,,
mlp256,70912,integrated_gradients,0.05,5,0.07216919230802667,0.05019397981365982,1.4378057403686189,1.3623205441996884,1.5248081848751303,0.0625,1.0,,
resnet18_small,78042,grad_cam,0.05,3,0.12406381826839603,0.10310105383921286,1.2033225039762911,1.16213699009488,1.280745880680186,0.25,1.0,0.2933333333333334,0.7453333333333333
resnet18_small,78042,gradient_x_input,0.05,3,0.17526122011335069,0.14297024939473335,1.2258579729371784,1.2072871631684667,1.2517991055504212,0.25,1.0,0.2933333333333334,0.7453333333333333
resnet18_small,78042,integrated_gradients,0.05,3,0.18051727054925282,0.13123572871849185,1.375519245498097,1.3062100517895765,1.491154523545869,0.25,1.0,0.2933333333333334,0.7453333333333333
resnet18_small,78042,saliency,0.05,3,0.17068189830774058,0.13665845868153356,1.248966949828511,1.2371780799729448,1.2697828800391802,0.25,1.0,0.2933333333333334,0.7453333333333333
mlp512,272896,gradient_x_input,0.05,5,0.08293903829522002,0.0507191445298519,1.6352609860445178,1.4610740305851866,1.7601209569669174,0.0625,1.0,,
mlp512,272896,integrated_gradients,0.05,5,0.08212049857862949,0.05900963808375466,1.3916455217378676,1.2486338078325068,1.5101697881367697,0.0625,0.9199999999999999,,
mlp1024,1070080,gradient_x_input,0.05,5,0.10002804605653288,0.06446563096767795,1.5516492207558688,1.3927215941760152,1.7308780379838433,0.0625,1.0,,
mlp1024,1070080,integrated_gradients,0.05,5,0.09890216737012499,0.07270613326668542,1.360300196509595,1.2206544023051398,1.5115980553485557,0.0625,0.8400000000000001,,
