explainer,eps,exceedance,preserved,ratio
expected_gradients,0.01,0.056950142130923885,0.3536,1.0185244419367645
expected_gradients,0.02,0.05576366899694344,0.5232,1.0203286450601394
expected_gradients,0.05,0.056078319647233886,0.7948000000000001,1.0235954677992023
expected_gradients,0.1,0.05827991221011549,0.9432,1.027621700335406
gradient_x_input,0.01,0.5653870422109414,0.3536,1.6652925265417644
gradient_x_input,0.02,0.5573274264861128,0.5232,1.6707184901697758
gradient_x_input,0.05,0.5742373890147902,0.7948000000000001,1.71045045760093
gradient_x_input,0.1,0.5975100795103223,0.9432,1.7753098939726573
integrated_gradients,0.01,0.5587094671226558,0.3536,1.5279612671375822
integrated_gradients,0.02,0.5464544041253308,0.5232,1.526195212405074
integrated_gradients,0.05,0.5673837301479828,0.7948000000000001,1.5503181158972454
integrated_gradients,0.1,0.590113738765117,0.9432,1.5925327049267803
kernel_shap,0.01,0.0,0.373,1.4150315736758325
kernel_shap,0.02,0.0,0.508,1.4205987011809165
kernel_shap,0.05,0.0,0.762,1.435644533451149
kernel_shap,0.1,0.0,0.942,1.4785268556787998
lime,0.01,0.0,0.373,1.2744038612190383
lime,0.02,0.0,0.508,1.2751920187748482
lime,0.05,0.0,0.762,1.2771407482810382
lime,0.1,0.0,0.942,1.281117310772674
saliency,0.01,0.7209107681305412,0.3536,1.6982539464788426
saliency,0.02,0.726762388445603,0.5232,1.7160488544766808
saliency,0.05,0.74895920517104,0.7948000000000001,1.7529157363557313
saliency,0.1,0.7663655256203619,0.9432,1.7927078765804878
smoothgrad,0.01,0.6819093499454697,0.3536,1.6954314485623723
smoothgrad,0.02,0.6932124051227719,0.5232,1.7135206346088243
smoothgrad,0.05,0.7188408777243849,0.7948000000000001,1.750287558925346
smoothgrad,0.1,0.7386232795058667,0.9432,1.7893621024029382
