explainer,quantity,mean,lo,hi
grad_cam,nu,0.0,0.0,0.0
grad_cam,rho_null,0.10310105383921286,0.09738027257132993,0.10818062317885198
grad_cam,rho_seed,0.2966733229504607,0.2878469681909192,0.301651174620014
grad_cam,delta,0.12406381826839603,0.12175136804228419,0.12572070380765943
grad_cam,ratio,1.2033225039762911,1.16213699009488,1.280745880680186
gradient_x_input,nu,0.0,0.0,0.0
gradient_x_input,rho_null,0.14297024939473335,0.13808798405858314,0.1520290477324766
gradient_x_input,rho_seed,0.42378928387957276,0.42280615637833546,0.4254156074813091
gradient_x_input,delta,0.17526122011335069,0.1667118505417393,0.185329959761361
gradient_x_input,ratio,1.2258579729371784,1.2072871631684667,1.2517991055504212
integrated_gradients,nu,0.0,0.0,0.0
integrated_gradients,rho_null,0.13123572871849185,0.12458950199277495,0.14162449461761195
integrated_gradients,rho_seed,0.42026882761251616,0.41713108825742645,0.42414485541718877
integrated_gradients,delta,0.18051727054925282,0.16653288571850852,0.18923672644639652
integrated_gradients,ratio,1.375519245498097,1.3062100517895765,1.491154523545869
saliency,nu,0.0,0.0,0.0
saliency,rho_null,0.13665845868153356,0.13199882348483657,0.14425914612453883
saliency,rho_seed,0.4237830566912016,0.4226209162232763,0.42579581411443335
saliency,delta,0.17068189830774058,0.16330605099765777,0.17894757047087398
saliency,ratio,1.248966949828511,1.2371780799729448,1.2697828800391802
