explainer,budget,nu,rho_null,ratio,nu_over_rho,resolvable,seconds
expected_gradients,32,0.15358725845909588,0.15702580821851106,1.0364788232845437,0.9780287935729574,1.0,0.19278589884440103
expected_gradients,128,0.08432575380035029,0.09459731639938675,1.048480937728684,0.8933087549053687,1.0,0.7101531823476156
expected_gradients,512,0.04395528822239577,0.05616353882454061,1.1904842418430377,0.7882215333138266,1.0,3.673561175664266
kernel_shap,128,0.07948431357471454,0.03395050548117929,1.3628025203362295,2.3887374165348536,0.0,2.171342690785726
kernel_shap,512,0.033650970772392756,0.03393236691470979,1.3662568101447843,1.0148909066007528,0.3333333333333333,4.676323572794597
kernel_shap,2048,0.016498118075168686,0.033922582354915805,1.371802509948781,0.49933206446646144,1.0,13.925123771031698
lime,1500,0.06392346924577946,0.034413302339075406,1.373757522787068,1.857417761842667,0.0,1.8494415283203125
lime,5000,0.03560505070921267,0.03470302361795936,1.363254444426224,1.0258908999184622,0.3333333333333333,3.2863826751708984
lime,15000,0.02162639072480661,0.03482941568817501,1.3575704533948247,0.6209565383820702,1.0,12.142030477523804
smoothgrad,32,0.01613441044109578,0.0294066278491969,1.581121868092395,0.5622452240708534,1.0,0.18059619267781576
smoothgrad,128,0.008292874857510173,0.02937451002074583,1.582922657963512,0.28900071111312814,1.0,0.7221910953521729
smoothgrad,512,0.004116707178776744,0.02935826562965176,1.5859299876363309,0.14395979683695073,1.0,2.838812510172526
