axis,value,explainer,delta,rho_null,ratio,n_preserved
architecture_width,128,gradient_x_input,0.05437908344848058,0.034572797319006844,1.5798629277329583,216.0
architecture_width,128,integrated_gradients,0.054624300943172645,0.03764520359562159,1.4485998442371726,216.0
architecture_width,32,gradient_x_input,0.03106922804012464,0.019158745289105966,1.7223466126406337,264.2
architecture_width,32,integrated_gradients,0.02935838385998346,0.019808625498292005,1.5731250287250973,264.2
architecture_width,64,gradient_x_input,0.04143334156443753,0.02638271831822071,1.613077260709598,236.4
architecture_width,64,integrated_gradients,0.03992608721461931,0.02749209996386784,1.496390779030176,236.4
frozen_layers,0,gradient_x_input,0.04143334156443753,0.02638271831822071,1.613077260709598,236.4
frozen_layers,0,integrated_gradients,0.03992608721461931,0.02749209996386784,1.496390779030176,236.4
frozen_layers,1,gradient_x_input,0.026177917116664572,0.016440933866146406,1.6876574537404134,265.8
frozen_layers,1,integrated_gradients,0.024346494816524365,0.016113534942313608,1.6033493684639146,265.8
ig_baseline,source_mean,integrated_gradients,0.03996714072011663,0.02749407675029557,1.4981130627815773,236.4
ig_baseline,target_mean,integrated_gradients,0.06345890001320557,0.027279304738587046,2.335626201054972,236.4
ig_baseline,zeros,integrated_gradients,0.03992608721461931,0.02749209996386784,1.496390779030176,236.4
lime_kernel_width,0.5,lime,0.01667795449114203,0.011435052027395172,1.6898224724511082,95.8
lime_kernel_width,2.0,lime,0.04161774756408465,0.029592809016676304,1.4337408194225945,95.8
lime_kernel_width,None,lime,0.04086908031418043,0.03146150876072106,1.334306987078601,95.8
probe_sampling,shared_support,gradient_x_input,0.04143334156443753,0.02638271831822071,1.613077260709598,236.4
probe_sampling,shared_support,integrated_gradients,0.03992608721461931,0.02749209996386784,1.496390779030176,236.4
probe_sampling,source_only,gradient_x_input,0.033273633470321376,0.027166255973575786,1.2481740487215525,275.6
probe_sampling,source_only,integrated_gradients,0.03470064895431158,0.02890288959227843,1.2328479569516722,275.6
probe_sampling,target_only,gradient_x_input,0.04939066688321297,0.025160579414614727,1.9944116006633237,219.0
probe_sampling,target_only,integrated_gradients,0.04678237404016834,0.02613395766366607,1.81478248187917,219.0
shap_background,10,kernel_shap,0.03933780839817359,0.027647710315588336,1.4606429762170703,95.8
shap_background,25,kernel_shap,0.039889532847753116,0.02818627651142442,1.4579888164157737,95.8
shap_background,50,kernel_shap,0.04141261623382321,0.02879865490424428,1.471487591478489,95.8
