width,explainer,n_params,delta,rho_null,ratio,seeds
32,gradient_x_input,1696,0.03106922804012464,0.019158745289105966,1.7223466126406337,5
32,integrated_gradients,1696,0.02935848841358123,0.019808603676791457,1.5731313608687774,5
64,gradient_x_input,5440,0.04143334156443753,0.02638271831822071,1.613077260709598,5
64,integrated_gradients,5440,0.03992653418311699,0.02749225275032056,1.4963987199340167,5
128,gradient_x_input,19072,0.05437908344848058,0.034572797319006844,1.5798629277329583,5
128,integrated_gradients,19072,0.054625864342823835,0.0376456799164618,1.4486224885311518,5
256,gradient_x_input,70912,0.06936824968868126,0.045257820963915646,1.5338779416692407,5
256,integrated_gradients,70912,0.07216919230802667,0.05019397981365982,1.4455998194405528,5
512,gradient_x_input,272896,0.08293903829522004,0.0507191445298519,1.6400490973781168,5
512,integrated_gradients,272896,0.08212049857862949,0.05900963808375466,1.3939006717464673,5
1024,gradient_x_input,1070080,0.10002804605653288,0.06446563096767795,1.5549790268334076,5
1024,integrated_gradients,1070080,0.09890216737012499,0.07270613326668542,1.3601321590474598,5
