shift,explainer,p,p_holm,cliffs_delta,significant
concept,EG,0.001953125,0.013671875,-1.0,True
concept,Grad$\times$Input,0.001953125,0.013671875,1.0,True
concept,IG,0.001953125,0.013671875,1.0,True
concept,KernelSHAP,0.001953125,0.013671875,1.0,True
concept,LIME,0.001953125,0.013671875,1.0,True
concept,Saliency,0.001953125,0.013671875,1.0,True
concept,SmoothGrad,0.001953125,0.013671875,1.0,True
covariate,EG,0.001953125,0.013671875,0.48,True
covariate,Grad$\times$Input,0.001953125,0.013671875,0.8999999999999999,True
covariate,IG,0.001953125,0.013671875,0.8999999999999999,True
covariate,KernelSHAP,0.001953125,0.013671875,0.8799999999999999,True
covariate,LIME,0.00390625,0.013671875,0.6399999999999999,True
covariate,Saliency,0.001953125,0.013671875,0.98,True
covariate,SmoothGrad,0.001953125,0.013671875,0.98,True
none,EG,0.921875,1.0,0.08000000000000007,False
none,Grad$\times$Input,0.6953125,1.0,0.10000000000000009,False
none,IG,0.6953125,1.0,0.1200000000000001,False
none,KernelSHAP,0.4921875,1.0,0.21999999999999997,False
none,LIME,0.431640625,1.0,0.24,False
none,Saliency,0.76953125,1.0,0.08000000000000007,False
none,SmoothGrad,0.76953125,1.0,0.10000000000000009,False
shortcut,EG,0.00390625,0.013671875,0.15999999999999992,True
shortcut,Grad$\times$Input,0.001953125,0.013671875,1.0,True
shortcut,IG,0.001953125,0.013671875,0.98,True
shortcut,KernelSHAP,0.001953125,0.013671875,1.0,True
shortcut,LIME,0.001953125,0.013671875,1.0,True
shortcut,Saliency,0.001953125,0.013671875,1.0,True
shortcut,SmoothGrad,0.001953125,0.013671875,1.0,True
