axis,value,mean_ratio,kendall_tau_vs_primary,n_rows
distance,spearman,1.700430554947756,1.0,70
distance,topk,1.674580153022916,,70
distance,cosine,2.5496268264617186,1.0,70
distance,l1,1.5000503740443774,1.0,70
distance,topk3,1.774231961411491,0.6190476190476191,70
distance,topk10,1.3975668184540844,0.9047619047619049,70
phi,abs,1.5000503740443774,1.0,70
eps,0.01,1.4706998665074562,1.0,70
eps,0.02,1.4775146509537511,1.0,70
eps,0.05,1.5000503740443774,1.0,70
eps,0.1,1.5338826349528205,1.0,70
features,all,1.5000503740443774,1.0,70
features,reliable,1.9209086998309972,1.0,56
